claim_sk,claim_id,policy_sk,vehicle_sk,date_sk,date,year,quarter,month,month_name,week,financial_year,policy_type,coverage_type,policy_status,policy_tenure_band,make,model,segment,fuel_type,vehicle_age_band,premium_vehicle,safety_rating,claim_amount,claim_amount_band,claim_flag,claim_approved,claim_severity,fraud_risk,settlement_days,settlement_band,claim_count,paid_claim,high_fraud,high_severity,fast_settlement,delayed_settlement
42396,CLM142395,42396,42396,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42397,CLM142396,42397,42397,20261219,2026-12-19,2026,4,12,December,51,2026-2027,Comprehensive,Gold,Expired,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42398,CLM142397,42398,42398,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Expired,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42399,CLM142398,42399,42399,20260215,2026-02-15,2026,1,2,February,7,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42400,CLM142399,42400,42400,20260128,2026-01-28,2026,1,1,January,5,2025-2026,Third Party,Gold,Cancelled,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42401,CLM142400,42401,42401,20250514,2025-05-14,2025,2,5,May,20,2025-2026,Comprehensive,Basic,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42402,CLM142401,42402,42402,20260310,2026-03-10,2026,1,3,March,11,2025-2026,Third Party,Gold,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42403,CLM142402,42403,42403,20250422,2025-04-22,2025,2,4,April,17,2025-2026,Third Party,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42404,CLM142403,42404,42404,20261005,2026-10-05,2026,4,10,October,41,2026-2027,Comprehensive,Gold,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42405,CLM142404,42405,42405,20260716,2026-07-16,2026,3,7,July,29,2026-2027,Third Party,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42406,CLM142405,42406,42406,20260328,2026-03-28,2026,1,3,March,13,2025-2026,Third Party,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42407,CLM142406,42407,42407,20260729,2026-07-29,2026,3,7,July,31,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M10,Utility,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42408,CLM142407,42408,42408,20251208,2025-12-08,2025,4,12,December,50,2025-2026,Third Party,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,123274,Very High,1.0,True,High,Low,29,Delayed,1,True,0,1,0,1
42409,CLM142408,42409,42409,20260920,2026-09-20,2026,3,9,September,38,2026-2027,Comprehensive,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42410,CLM142409,42410,42410,20260414,2026-04-14,2026,2,4,April,16,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42411,CLM142410,42411,42411,20260331,2026-03-31,2026,1,3,March,14,2025-2026,Third Party,Gold,Active,> 12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42412,CLM142411,42412,42412,20260626,2026-06-26,2026,2,6,June,26,2026-2027,Comprehensive,Basic,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42413,CLM142412,42413,42413,20250611,2025-06-11,2025,2,6,June,24,2025-2026,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42414,CLM142413,42414,42414,20261114,2026-11-14,2026,4,11,November,46,2026-2027,Third Party,Silver,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42415,CLM142414,42415,42415,20260902,2026-09-02,2026,3,9,September,36,2026-2027,Comprehensive,Basic,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42416,CLM142415,42416,42416,20251106,2025-11-06,2025,4,11,November,45,2025-2026,Third Party,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42417,CLM142416,42417,42417,20260819,2026-08-19,2026,3,8,August,34,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42418,CLM142417,42418,42418,20261210,2026-12-10,2026,4,12,December,50,2026-2027,Third Party,Silver,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42419,CLM142418,42419,42419,20251119,2025-11-19,2025,4,11,November,47,2025-2026,Comprehensive,Basic,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42420,CLM142419,42420,42420,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42421,CLM142420,42421,42421,20250509,2025-05-09,2025,2,5,May,19,2025-2026,Third Party,Gold,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42422,CLM142421,42422,42422,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Cancelled,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42423,CLM142422,42423,42423,20261109,2026-11-09,2026,4,11,November,46,2026-2027,Comprehensive,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42424,CLM142423,42424,42424,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42425,CLM142424,42425,42425,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42426,CLM142425,42426,42426,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42427,CLM142426,42427,42427,20260221,2026-02-21,2026,1,2,February,8,2025-2026,Comprehensive,Basic,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42428,CLM142427,42428,42428,20260421,2026-04-21,2026,2,4,April,17,2026-2027,Comprehensive,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42429,CLM142428,42429,42429,20260926,2026-09-26,2026,3,9,September,39,2026-2027,Third Party,Basic,Cancelled,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42430,CLM142429,42430,42430,20251201,2025-12-01,2025,4,12,December,49,2025-2026,Comprehensive,Basic,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42431,CLM142430,42431,42431,20260911,2026-09-11,2026,3,9,September,37,2026-2027,Comprehensive,Gold,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42432,CLM142431,42432,42432,20260509,2026-05-09,2026,2,5,May,19,2026-2027,Comprehensive,Gold,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42433,CLM142432,42433,42433,20250523,2025-05-23,2025,2,5,May,21,2025-2026,Third Party,Silver,Active,> 12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42434,CLM142433,42434,42434,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,> 12 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42435,CLM142434,42435,42435,20260731,2026-07-31,2026,3,7,July,31,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42436,CLM142435,42436,42436,20260508,2026-05-08,2026,2,5,May,19,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42437,CLM142436,42437,42437,20260908,2026-09-08,2026,3,9,September,37,2026-2027,Comprehensive,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42438,CLM142437,42438,42438,20250712,2025-07-12,2025,3,7,July,28,2025-2026,Third Party,Silver,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42439,CLM142438,42439,42439,20261230,2026-12-30,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42440,CLM142439,42440,42440,20260214,2026-02-14,2026,1,2,February,7,2025-2026,Comprehensive,Gold,Expired,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42441,CLM142440,42441,42441,20260313,2026-03-13,2026,1,3,March,11,2025-2026,Comprehensive,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42442,CLM142441,42442,42442,20251011,2025-10-11,2025,4,10,October,41,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42443,CLM142442,42443,42443,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42444,CLM142443,42444,42444,20260416,2026-04-16,2026,2,4,April,16,2026-2027,Comprehensive,Basic,Expired,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42445,CLM142444,42445,42445,20250805,2025-08-05,2025,3,8,August,32,2025-2026,Comprehensive,Gold,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42446,CLM142445,42446,42446,20260211,2026-02-11,2026,1,2,February,7,2025-2026,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42447,CLM142446,42447,42447,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42448,CLM142447,42448,42448,20260625,2026-06-25,2026,2,6,June,26,2026-2027,Third Party,Basic,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42449,CLM142448,42449,42449,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42450,CLM142449,42450,42450,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42451,CLM142450,42451,42451,20250817,2025-08-17,2025,3,8,August,33,2025-2026,Third Party,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42452,CLM142451,42452,42452,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42453,CLM142452,42453,42453,20260224,2026-02-24,2026,1,2,February,9,2025-2026,Third Party,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42454,CLM142453,42454,42454,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42455,CLM142454,42455,42455,20251203,2025-12-03,2025,4,12,December,49,2025-2026,Third Party,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42456,CLM142455,42456,42456,20260531,2026-05-31,2026,2,5,May,22,2026-2027,Comprehensive,Silver,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42457,CLM142456,42457,42457,20261003,2026-10-03,2026,4,10,October,40,2026-2027,Comprehensive,Basic,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42458,CLM142457,42458,42458,20250429,2025-04-29,2025,2,4,April,18,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42459,CLM142458,42459,42459,20260928,2026-09-28,2026,3,9,September,40,2026-2027,Comprehensive,Gold,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42460,CLM142459,42460,42460,20261019,2026-10-19,2026,4,10,October,43,2026-2027,Third Party,Basic,Expired,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42461,CLM142460,42461,42461,20250913,2025-09-13,2025,3,9,September,37,2025-2026,Comprehensive,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42462,CLM142461,42462,42462,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42463,CLM142462,42463,42463,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42464,CLM142463,42464,42464,20260101,2026-01-01,2026,1,1,January,1,2025-2026,Third Party,Basic,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42465,CLM142464,42465,42465,20260119,2026-01-19,2026,1,1,January,4,2025-2026,Comprehensive,Silver,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42466,CLM142465,42466,42466,20260619,2026-06-19,2026,2,6,June,25,2026-2027,Third Party,Basic,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42467,CLM142466,42467,42467,20260217,2026-02-17,2026,1,2,February,8,2025-2026,Comprehensive,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42468,CLM142467,42468,42468,20251214,2025-12-14,2025,4,12,December,50,2025-2026,Third Party,Basic,Active,> 12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42469,CLM142468,42469,42469,20251009,2025-10-09,2025,4,10,October,41,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,8133,Low,1.0,True,Low,Low,17,Delayed,1,True,0,0,0,1
42470,CLM142469,42470,42470,20260529,2026-05-29,2026,2,5,May,22,2026-2027,Third Party,Silver,Cancelled,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42471,CLM142470,42471,42471,20260117,2026-01-17,2026,1,1,January,3,2025-2026,Third Party,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42472,CLM142471,42472,42472,20260724,2026-07-24,2026,3,7,July,30,2026-2027,Comprehensive,Gold,Active,> 12 Months,4,M5,B2,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42473,CLM142472,42473,42473,20260216,2026-02-16,2026,1,2,February,8,2025-2026,Comprehensive,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42474,CLM142473,42474,42474,20260306,2026-03-06,2026,1,3,March,10,2025-2026,Comprehensive,Gold,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42475,CLM142474,42475,42475,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Expired,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42476,CLM142475,42476,42476,20250924,2025-09-24,2025,3,9,September,39,2025-2026,Comprehensive,Basic,Active,6-12 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42477,CLM142476,42477,42477,20261020,2026-10-20,2026,4,10,October,43,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42478,CLM142477,42478,42478,20260515,2026-05-15,2026,2,5,May,20,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42479,CLM142478,42479,42479,20250924,2025-09-24,2025,3,9,September,39,2025-2026,Comprehensive,Silver,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42480,CLM142479,42480,42480,20250827,2025-08-27,2025,3,8,August,35,2025-2026,Third Party,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42481,CLM142480,42481,42481,20261203,2026-12-03,2026,4,12,December,49,2026-2027,Comprehensive,Gold,Active,> 12 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42482,CLM142481,42482,42482,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,6-12 Months,4,M5,B2,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42483,CLM142482,42483,42483,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42484,CLM142483,42484,42484,20260409,2026-04-09,2026,2,4,April,15,2026-2027,Comprehensive,Basic,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42485,CLM142484,42485,42485,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42486,CLM142485,42486,42486,20251210,2025-12-10,2025,4,12,December,50,2025-2026,Comprehensive,Basic,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42487,CLM142486,42487,42487,20260707,2026-07-07,2026,3,7,July,28,2026-2027,Comprehensive,Basic,Active,> 12 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42488,CLM142487,42488,42488,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42489,CLM142488,42489,42489,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,> 12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42490,CLM142489,42490,42490,20250507,2025-05-07,2025,2,5,May,19,2025-2026,Comprehensive,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42491,CLM142490,42491,42491,20260301,2026-03-01,2026,1,3,March,9,2025-2026,Comprehensive,Basic,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42492,CLM142491,42492,42492,20261229,2026-12-29,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42493,CLM142492,42493,42493,20261029,2026-10-29,2026,4,10,October,44,2026-2027,Comprehensive,Silver,Expired,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42494,CLM142493,42494,42494,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42495,CLM142494,42495,42495,20260706,2026-07-06,2026,3,7,July,28,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42496,CLM142495,42496,42496,20260822,2026-08-22,2026,3,8,August,34,2026-2027,Comprehensive,Basic,Cancelled,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42497,CLM142496,42497,42497,20260718,2026-07-18,2026,3,7,July,29,2026-2027,Comprehensive,Basic,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42498,CLM142497,42498,42498,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42499,CLM142498,42499,42499,20260717,2026-07-17,2026,3,7,July,29,2026-2027,Third Party,Basic,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42500,CLM142499,42500,42500,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Expired,> 12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42501,CLM142500,42501,42501,20260909,2026-09-09,2026,3,9,September,37,2026-2027,Third Party,Silver,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42502,CLM142501,42502,42502,20251006,2025-10-06,2025,4,10,October,41,2025-2026,Third Party,Basic,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42503,CLM142502,42503,42503,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,> 12 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42504,CLM142503,42504,42504,20260313,2026-03-13,2026,1,3,March,11,2025-2026,Comprehensive,Silver,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42505,CLM142504,42505,42505,20261026,2026-10-26,2026,4,10,October,44,2026-2027,Comprehensive,Basic,Cancelled,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42506,CLM142505,42506,42506,20250813,2025-08-13,2025,3,8,August,33,2025-2026,Comprehensive,Gold,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42507,CLM142506,42507,42507,20260223,2026-02-23,2026,1,2,February,9,2025-2026,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42508,CLM142507,42508,42508,20260717,2026-07-17,2026,3,7,July,29,2026-2027,Comprehensive,Silver,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42509,CLM142508,42509,42509,20251107,2025-11-07,2025,4,11,November,45,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42510,CLM142509,42510,42510,20251207,2025-12-07,2025,4,12,December,49,2025-2026,Comprehensive,Gold,Active,< 6 Months,4,M5,B2,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42511,CLM142510,42511,42511,20260227,2026-02-27,2026,1,2,February,9,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42512,CLM142511,42512,42512,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42513,CLM142512,42513,42513,20260126,2026-01-26,2026,1,1,January,5,2025-2026,Third Party,Basic,Expired,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
