underwriting_sk,policy_sk,customer_sk,vehicle_sk,policy_type,coverage_type,policy_status,make,model,segment,fuel_type,vehicle_age_band,risk_score,risk_band,fraud_probability,underwriting_decision,manual_review_flag,auto_approved_flag,rejected_flag,stp_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,sla_breached_flag,high_risk_flag,fraud_flag,recommendation,model_version,underwriting_date_sk
45079,45079,45079,45079,Comprehensive,Silver,Active,1,M7,B2,Petrol,New,72,High,0.72,Rejected,0,0,1,1,19,20,4,99.88,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240419
45080,45080,45080,45080,Comprehensive,Gold,Active,1,M1,A,CNG,New,37,Medium,0.37,Manual Review,1,0,0,0,45,5,1,96.45,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20251113
45081,45081,45081,45081,Comprehensive,Basic,Active,1,M1,A,CNG,New,91,Very High,0.91,Rejected,0,0,1,1,14,17,6,90.95,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250615
45082,45082,45082,45082,Third Party,Silver,Active,2,M3,A,Petrol,New,78,High,0.78,Rejected,0,0,1,1,5,32,2,82.93,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20240914
45083,45083,45083,45083,Third Party,Basic,Active,2,M3,A,Petrol,New,61,High,0.61,Manual Review,1,0,0,0,48,5,6,87.79,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20250907
45084,45084,45084,45084,Comprehensive,Gold,Active,5,M9,C1,Diesel,New,79,High,0.79,Rejected,0,0,1,1,11,26,3,96.63,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250926
45085,45085,45085,45085,Comprehensive,Basic,Active,1,M1,A,CNG,New,72,High,0.72,Rejected,0,0,1,1,10,17,3,98.08,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250821
45086,45086,45086,45086,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,96,Very High,0.96,Rejected,0,0,1,1,17,17,4,83.44,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20241028
45087,45087,45087,45087,Third Party,Gold,Active,3,M4,C2,Diesel,New,16,Low,0.16,Approved,0,1,0,1,7,-10,2,76.07,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20250515
45088,45088,45088,45088,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,21,Low,0.21,Approved,0,1,0,1,5,2,2,97.0,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230215
45089,45089,45089,45089,Comprehensive,Basic,Active,1,M1,A,CNG,New,73,High,0.73,Rejected,0,0,1,1,10,23,6,92.48,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20220915
45090,45090,45090,45090,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,6,Low,0.06,Approved,0,1,0,1,7,0,7,95.31,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20231013
45091,45091,45091,45091,Third Party,Gold,Active,1,M1,A,CNG,New,81,Very High,0.81,Rejected,0,0,1,1,13,27,2,96.83,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241205
45092,45092,45092,45092,Third Party,Basic,Expired,3,M4,C2,Diesel,New,89,Very High,0.89,Rejected,0,0,1,1,24,33,6,83.74,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220506
45093,45093,45093,45093,Third Party,Basic,Active,1,M1,A,CNG,New,17,Low,0.17,Approved,0,1,0,1,3,-8,2,82.31,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20241110
45094,45094,45094,45094,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,36,Medium,0.36,Manual Review,1,0,0,0,76,12,4,99.26,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250408
45095,45095,45095,45095,Third Party,Silver,Active,4,M5,B2,Diesel,New,45,Medium,0.45,Manual Review,1,0,0,0,80,13,1,84.64,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230628
45096,45096,45096,45096,Third Party,Gold,Active,2,M3,A,Petrol,New,24,Low,0.24,Approved,0,1,0,1,4,0,6,90.4,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20251210
45097,45097,45097,45097,Third Party,Silver,Expired,1,M6,B2,Petrol,New,63,High,0.63,Manual Review,1,0,0,0,88,3,4,90.69,Manual,Rahul,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20230331
45098,45098,45098,45098,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,5,Low,0.05,Approved,0,1,0,1,3,-1,2,94.95,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20231024
45099,45099,45099,45099,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,51,Medium,0.51,Manual Review,1,0,0,0,36,0,5,76.82,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250514
45100,45100,45100,45100,Comprehensive,Gold,Cancelled,3,M4,C2,Diesel,New,51,Medium,0.51,Manual Review,1,0,0,0,50,0,4,87.34,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250918
45101,45101,45101,45101,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,91,Very High,0.91,Rejected,0,0,1,1,18,27,5,99.68,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20241110
45102,45102,45102,45102,Comprehensive,Basic,Active,1,M10,Utility,CNG,New,81,Very High,0.81,Rejected,0,0,1,1,7,31,1,80.8,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20240706
45103,45103,45103,45103,Third Party,Basic,Active,1,M1,A,CNG,New,9,Low,0.09,Approved,0,1,0,1,7,-1,6,95.88,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20241224
45104,45104,45104,45104,Comprehensive,Gold,Active,2,M3,A,Petrol,New,8,Low,0.08,Approved,0,1,0,1,6,-6,6,79.29,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20220329
45105,45105,45105,45105,Comprehensive,Silver,Active,1,M8,B1,CNG,New,97,Very High,0.97,Rejected,0,0,1,1,5,19,5,97.2,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241202
45106,45106,45106,45106,Comprehensive,Basic,Active,1,M1,A,CNG,New,70,High,0.7,Rejected,0,0,1,1,14,32,6,87.17,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250310
45107,45107,45107,45107,Third Party,Silver,Active,1,M8,B1,CNG,New,52,Medium,0.52,Manual Review,1,0,0,0,74,0,4,82.58,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20251029
45108,45108,45108,45108,Third Party,Basic,Active,3,M4,C2,Diesel,New,58,Medium,0.58,Manual Review,1,0,0,0,53,2,7,77.51,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230531
45109,45109,45109,45109,Third Party,Silver,Active,3,M4,C2,Diesel,New,7,Low,0.07,Approved,0,1,0,1,2,4,7,90.67,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230515
45110,45110,45110,45110,Third Party,Gold,Active,1,M1,A,CNG,New,26,Low,0.26,Approved,0,1,0,1,2,-6,4,80.56,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20250726
45111,45111,45111,45111,Comprehensive,Silver,Expired,1,M6,B2,Petrol,New,82,Very High,0.82,Rejected,0,0,1,1,5,17,3,93.69,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20221122
45112,45112,45112,45112,Third Party,Gold,Active,1,M6,B2,Petrol,New,81,Very High,0.81,Rejected,0,0,1,1,13,34,4,81.64,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20251212
45113,45113,45113,45113,Third Party,Gold,Active,4,M11,C1,Petrol,New,6,Low,0.06,Approved,0,1,0,1,5,-10,1,82.85,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230707
45114,45114,45114,45114,Comprehensive,Silver,Expired,1,M1,A,CNG,New,59,Medium,0.59,Manual Review,1,0,0,0,32,4,4,97.83,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20240606
45115,45115,45115,45115,Comprehensive,Basic,Active,1,M1,A,CNG,New,77,High,0.77,Rejected,0,0,1,1,22,30,2,94.26,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240922
45116,45116,45116,45116,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,20,Low,0.2,Approved,0,1,0,1,6,0,2,82.73,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240919
45117,45117,45117,45117,Comprehensive,Silver,Active,1,M2,C1,Petrol,New,16,Low,0.16,Approved,0,1,0,1,2,-1,1,97.44,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240717
45118,45118,45118,45118,Comprehensive,Silver,Active,1,M1,A,CNG,New,60,High,0.6,Manual Review,1,0,0,0,27,0,4,83.5,Manual,David,Within SLA,0,1,0,Refer Underwriter,UW_AI_v2.0,20240709
45119,45119,45119,45119,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,54,Medium,0.54,Manual Review,1,0,0,0,27,2,6,91.81,Manual,Priya,Within SLA,0,0,0,Refer Underwriter,UW_AI_v1.0,20221104
45120,45120,45120,45120,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,70,High,0.7,Rejected,0,0,1,1,14,31,5,90.85,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20231019
45121,45121,45121,45121,Third Party,Silver,Active,3,M4,C2,Diesel,New,89,Very High,0.89,Rejected,0,0,1,1,16,33,6,98.93,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250823
45122,45122,45122,45122,Third Party,Basic,Active,1,M6,B2,Petrol,New,83,Very High,0.83,Rejected,0,0,1,1,14,22,7,97.76,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20230415
45123,45123,45123,45123,Third Party,Silver,Active,3,M4,C2,Diesel,New,82,Very High,0.82,Rejected,0,0,1,1,8,33,2,83.08,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250422
45124,45124,45124,45124,Comprehensive,Gold,Cancelled,1,M1,A,CNG,New,15,Low,0.15,Approved,0,1,0,1,5,-9,2,94.65,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230917
45125,45125,45125,45125,Comprehensive,Gold,Active,2,M3,A,Petrol,New,22,Low,0.22,Approved,0,1,0,1,7,2,1,77.38,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20221018
45126,45126,45126,45126,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,55,Medium,0.55,Manual Review,1,0,0,0,28,4,5,77.6,Manual,Priya,Within SLA,0,0,0,Refer Underwriter,UW_AI_v1.1,20220906
45127,45127,45127,45127,Third Party,Basic,Active,5,M9,C1,Diesel,New,93,Very High,0.93,Rejected,0,0,1,1,6,24,4,93.7,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20221120
45128,45128,45128,45128,Third Party,Gold,Active,1,M1,A,CNG,New,76,High,0.76,Rejected,0,0,1,1,9,26,4,87.42,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20230827
45129,45129,45129,45129,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,70,High,0.7,Rejected,0,0,1,1,15,34,5,86.11,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220228
45130,45130,45130,45130,Comprehensive,Basic,Active,1,M1,A,CNG,New,88,Very High,0.88,Rejected,0,0,1,1,16,32,4,97.71,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20241017
45131,45131,45131,45131,Comprehensive,Gold,Active,1,M1,A,CNG,New,61,High,0.61,Manual Review,1,0,0,0,71,12,2,82.1,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20220926
45132,45132,45132,45132,Third Party,Basic,Active,3,M4,C2,Diesel,New,30,Medium,0.3,Approved,0,1,0,1,6,2,6,98.95,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20250903
45133,45133,45133,45133,Comprehensive,Silver,Active,1,M1,A,CNG,New,78,High,0.78,Rejected,0,0,1,1,6,15,1,79.53,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20220404
45134,45134,45134,45134,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,76,High,0.76,Rejected,0,0,1,1,19,21,1,80.79,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250701
45135,45135,45135,45135,Comprehensive,Silver,Active,1,M7,B2,Petrol,New,98,Very High,0.98,Rejected,0,0,1,1,23,29,2,81.41,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20231118
45136,45136,45136,45136,Third Party,Gold,Active,3,M4,C2,Diesel,New,10,Low,0.1,Approved,0,1,0,1,3,0,1,87.46,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230530
45137,45137,45137,45137,Comprehensive,Silver,Active,1,M1,A,CNG,New,60,High,0.6,Manual Review,1,0,0,0,34,6,6,79.59,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20230617
45138,45138,45138,45138,Third Party,Basic,Expired,1,M7,B2,Petrol,New,51,Medium,0.51,Manual Review,1,0,0,0,20,3,2,87.64,Manual,John,Within SLA,0,0,0,Refer Underwriter,UW_AI_v1.1,20250201
45139,45139,45139,45139,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,84,Very High,0.84,Rejected,0,0,1,1,23,25,1,88.94,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20230206
45140,45140,45140,45140,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,23,Low,0.23,Approved,0,1,0,1,5,-4,3,82.02,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240824
45141,45141,45141,45141,Third Party,Basic,Active,1,M6,B2,Petrol,New,7,Low,0.07,Approved,0,1,0,1,2,-3,3,96.87,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250918
45142,45142,45142,45142,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,17,Low,0.17,Approved,0,1,0,1,3,-8,6,75.13,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20231222
45143,45143,45143,45143,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,86,Very High,0.86,Rejected,0,0,1,1,9,16,7,85.3,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240526
45144,45144,45144,45144,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,45,Medium,0.45,Manual Review,1,0,0,0,70,2,1,97.48,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230831
45145,45145,45145,45145,Third Party,Silver,Active,1,M6,B2,Petrol,New,45,Medium,0.45,Manual Review,1,0,0,0,28,6,2,85.84,Manual,Rahul,Within SLA,0,0,0,Refer Underwriter,UW_AI_v1.0,20220403
45146,45146,45146,45146,Third Party,Basic,Active,3,M4,C2,Diesel,New,11,Low,0.11,Approved,0,1,0,1,6,0,5,84.22,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230728
45147,45147,45147,45147,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,26,Low,0.26,Approved,0,1,0,1,3,-1,7,75.88,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240828
45148,45148,45148,45148,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,35,Medium,0.35,Manual Review,1,0,0,0,47,9,5,85.82,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20230313
45149,45149,45149,45149,Comprehensive,Gold,Active,1,M1,A,CNG,New,87,Very High,0.87,Rejected,0,0,1,1,24,19,1,78.95,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20241030
45150,45150,45150,45150,Comprehensive,Basic,Active,1,M1,A,CNG,New,23,Low,0.23,Approved,0,1,0,1,2,-5,3,98.2,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230401
45151,45151,45151,45151,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,51,Medium,0.51,Manual Review,1,0,0,0,54,7,6,97.03,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230219
45152,45152,45152,45152,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,19,Low,0.19,Approved,0,1,0,1,2,-10,1,97.01,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20251030
45153,45153,45153,45153,Comprehensive,Silver,Active,1,M10,Utility,CNG,New,76,High,0.76,Rejected,0,0,1,1,21,26,4,84.53,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20251028
45154,45154,45154,45154,Comprehensive,Silver,Active,1,M1,A,CNG,New,97,Very High,0.97,Rejected,0,0,1,1,15,27,7,88.4,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20231205
45155,45155,45155,45155,Comprehensive,Basic,Active,1,M1,A,CNG,New,60,High,0.6,Manual Review,1,0,0,0,29,2,3,81.55,Manual,Alice,Within SLA,0,1,0,Refer Underwriter,UW_AI_v1.0,20240531
45156,45156,45156,45156,Comprehensive,Basic,Cancelled,3,M4,C2,Diesel,New,54,Medium,0.54,Manual Review,1,0,0,0,57,1,4,86.15,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20240201
45157,45157,45157,45157,Comprehensive,Basic,Active,1,M7,B2,Petrol,New,21,Low,0.21,Approved,0,1,0,1,5,-5,5,84.53,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20250503
45158,45158,45158,45158,Third Party,Basic,Active,2,M3,A,Petrol,New,38,Medium,0.38,Manual Review,1,0,0,0,83,2,1,83.22,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20220922
45159,45159,45159,45159,Third Party,Silver,Active,4,M5,B2,Diesel,New,46,Medium,0.46,Manual Review,1,0,0,0,88,8,7,95.81,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230522
45160,45160,45160,45160,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,89,Very High,0.89,Rejected,0,0,1,1,16,28,7,89.56,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20231008
45161,45161,45161,45161,Third Party,Gold,Active,1,M6,B2,Petrol,New,33,Medium,0.33,Approved,0,1,0,1,5,1,3,96.95,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240615
45162,45162,45162,45162,Comprehensive,Silver,Expired,1,M7,B2,Petrol,New,76,High,0.76,Rejected,0,0,1,1,22,33,6,99.01,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20251220
45163,45163,45163,45163,Third Party,Silver,Active,1,M6,B2,Petrol,New,10,Low,0.1,Approved,0,1,0,1,6,0,5,76.94,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20240510
45164,45164,45164,45164,Third Party,Basic,Active,1,M8,B1,CNG,New,72,High,0.72,Rejected,0,0,1,1,10,19,7,79.34,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20231120
45165,45165,45165,45165,Comprehensive,Gold,Active,2,M3,A,Petrol,New,28,Low,0.28,Approved,0,1,0,1,2,-6,2,97.44,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240516
45166,45166,45166,45166,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,24,Low,0.24,Approved,0,1,0,1,3,-3,7,99.34,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250127
45167,45167,45167,45167,Comprehensive,Gold,Active,1,M1,A,CNG,New,87,Very High,0.87,Rejected,0,0,1,1,10,26,1,92.7,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241119
45168,45168,45168,45168,Comprehensive,Gold,Active,1,M1,A,CNG,New,85,Very High,0.85,Rejected,0,0,1,1,21,18,7,89.43,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250807
45169,45169,45169,45169,Comprehensive,Basic,Active,1,M1,A,CNG,New,56,Medium,0.56,Manual Review,1,0,0,0,44,14,7,96.04,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230502
45170,45170,45170,45170,Comprehensive,Silver,Active,1,M1,A,CNG,New,92,Very High,0.92,Rejected,0,0,1,1,12,18,3,92.18,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20251130
45171,45171,45171,45171,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,95,Very High,0.95,Rejected,0,0,1,1,21,31,4,98.79,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20220128
45172,45172,45172,45172,Comprehensive,Gold,Active,1,M8,B1,CNG,New,27,Low,0.27,Approved,0,1,0,1,2,-8,5,80.37,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250315
45173,45173,45173,45173,Third Party,Basic,Active,1,M8,B1,CNG,New,82,Very High,0.82,Rejected,0,0,1,1,14,32,1,91.0,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20221015
45174,45174,45174,45174,Comprehensive,Silver,Active,1,M8,B1,CNG,New,58,Medium,0.58,Manual Review,1,0,0,0,60,8,1,87.64,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230804
45175,45175,45175,45175,Comprehensive,Gold,Active,1,M1,A,CNG,New,79,High,0.79,Rejected,0,0,1,1,13,15,4,79.17,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20240807
45176,45176,45176,45176,Comprehensive,Silver,Active,1,M8,B1,CNG,New,91,Very High,0.91,Rejected,0,0,1,1,24,19,7,80.87,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220909
45177,45177,45177,45177,Third Party,Silver,Active,1,M1,A,CNG,New,12,Low,0.12,Approved,0,1,0,1,6,-10,3,88.4,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20250331
45178,45178,45178,45178,Comprehensive,Silver,Active,1,M8,B1,CNG,New,16,Low,0.16,Approved,0,1,0,1,6,-4,2,75.29,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20240715
45179,45179,45179,45179,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,49,Medium,0.49,Manual Review,1,0,0,0,82,14,4,84.95,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20220420
45180,45180,45180,45180,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,61,High,0.61,Manual Review,1,0,0,0,55,6,2,87.4,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20231006
45181,45181,45181,45181,Comprehensive,Silver,Expired,1,M1,A,CNG,New,69,High,0.69,Manual Review,1,0,0,0,58,10,5,77.34,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20230202
45182,45182,45182,45182,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,72,High,0.72,Rejected,0,0,1,1,11,20,1,98.22,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250718
45183,45183,45183,45183,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,8,Low,0.08,Approved,0,1,0,1,2,0,6,82.46,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250426
45184,45184,45184,45184,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,66,High,0.66,Manual Review,1,0,0,0,87,12,6,82.71,Manual,David,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20221003
45185,45185,45185,45185,Comprehensive,Silver,Active,1,M1,A,CNG,New,81,Very High,0.81,Rejected,0,0,1,1,7,18,3,87.48,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20231120
45186,45186,45186,45186,Third Party,Basic,Active,3,M4,C2,Diesel,New,35,Medium,0.35,Manual Review,1,0,0,0,21,11,5,98.75,Manual,Rahul,Within SLA,0,0,0,Refer Underwriter,UW_AI_v1.1,20220904
45187,45187,45187,45187,Third Party,Gold,Active,1,M1,A,CNG,New,58,Medium,0.58,Manual Review,1,0,0,0,27,12,7,92.67,Manual,Rahul,Within SLA,0,0,0,Refer Underwriter,UW_AI_v2.0,20250909
45188,45188,45188,45188,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,35,Medium,0.35,Manual Review,1,0,0,0,61,2,5,91.19,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20241107
45189,45189,45189,45189,Third Party,Gold,Active,1,M1,A,CNG,New,36,Medium,0.36,Manual Review,1,0,0,0,70,11,5,98.99,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230212
45190,45190,45190,45190,Comprehensive,Gold,Expired,3,M4,C2,Diesel,New,44,Medium,0.44,Manual Review,1,0,0,0,73,4,3,83.91,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20251205
45191,45191,45191,45191,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,8,Low,0.08,Approved,0,1,0,1,3,-6,5,79.32,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20220505
45192,45192,45192,45192,Comprehensive,Basic,Active,1,M1,A,CNG,New,11,Low,0.11,Approved,0,1,0,1,3,-6,7,90.59,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250905
45193,45193,45193,45193,Third Party,Basic,Active,1,M6,B2,Petrol,New,60,High,0.6,Manual Review,1,0,0,0,23,13,4,87.03,Manual,Alice,Within SLA,0,1,0,Refer Underwriter,UW_AI_v1.0,20220602
45194,45194,45194,45194,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,61,High,0.61,Manual Review,1,0,0,0,25,9,7,75.17,Manual,Rahul,Within SLA,0,1,0,Refer Underwriter,UW_AI_v2.0,20231020
